id,geo,username,tweet
1476515187138056196,"66.44310650816469,-179.82421875,600km",welibyvepa,Инвентаризация должна проводиться на каждом предприятии: Инвентаризация — это проверка наличия имущества организации и состояния её финансовых обязательств на определённую дату путём сличения фактических данных с данными бухгалтерского учёта.  https://t.co/a0z5NhbWsC
1476515181760901120,"66.44310650816469,-179.82421875,600km",welibyvepa,"Выгоды проката авто с водителем: Давно уже не секрет что в мегаполисах и больших городах существует такая, не побоюсь этого сказать, полезная услуга как – аренда машины с личным водителем. Конечно, вы мне можете возразить и сказать, что в случае чего…  https://t.co/0eDEs5BFKQ"
1476515176404844545,"66.44310650816469,-179.82421875,600km",welibyvepa,"Самый удобный способ добраться из аэропорта: Многие иностранные слова вошли в наш обиход, и мы постоянно ими пользуемся. Например, трансфер — это слово обозначает перемещение в переводе с английского языка. Сейчас уже все привыкли, что его употребляют,…  https://t.co/nivK8GggBT"
1476515170977419273,"66.44310650816469,-179.82421875,600km",welibyvepa,Микроавтобус может потребоваться для разных целей: Организуете корпоративный отдых или туристический вояж? Ищете транспорт для встречи иностранных гостей или сопровождения свадьбы? Нужен представительский автомобиль для деловой поездки? Арендуйте…  https://t.co/YIBSxpaoF1
1476269394993070097,"66.44310650816469,-179.82421875,600km",theanarcshit,KİM BUNLAR? :D
1476264385890893838,"66.44310650816469,-179.82421875,600km",theanarcshit,@who98408150 sabunu bol bulunca böyle olmuş
1476053618163867653,"66.44310650816469,-179.82421875,600km",theanarcshit,@EbuBilalNamibi Çalıyor ama çalışıyor reyizim tırnakçım hamdü isalar olsun hiç durmuyor hep iş üstünse
1475899192312844299,"66.44310650816469,-179.82421875,600km",theanarcshit,@EbuBilalNamibi Kapağı açan olursa ölene kadar noggogo yapın reyizil gudsi haźretleri
1475788892380950528,"66.44310650816469,-179.82421875,600km",welibyvepa,"Витамины отлично повышают иммунитет: Способность организма противостоять различным инфекциям зависит от состояния нашей иммунной системы. Невосприимчивость к инфекционным агентам свидетельствует о том, что защитные силы функционируют без сбоев. А частыми…  https://t.co/3AJmvntQtQ"
1475788886861246467,"66.44310650816469,-179.82421875,600km",welibyvepa,"Снеки популярны по всему миру: Такое слово как ""снек"" наверняка слышали многие. И некоторые знают, что оно имеет какое-то отношение к продуктам питания. Но что же это такое не самом деле? И не вредно ли это?  https://t.co/AmBZAuNUpr"
1475788881047871489,"66.44310650816469,-179.82421875,600km",welibyvepa,"Грузовые авто часто переоборудуют: Для переоборудования грузовых автомобилей крупные промышленные предприятия используют специальное оборудование. Этот процесс, осуществляемый специализированными СТО, позволяет в значительной степени увеличить объем…  https://t.co/ScNpaXI6Nq"
1475450641703227392,"66.44310650816469,-179.82421875,600km",theanarcshit,@ATA__KIIZI plakanın harflerini boşa silmişsin oradaki harf kombinasyonu belli  😂
1475402153233731589,"66.44310650816469,-179.82421875,600km",theanarcshit,@EbuBilalNamibi tıpkı yüce kitabınızda bahşettiğiniz üzre daha adil ve düzenli bir dünya mümkün. görüntülerdeki kardeşiniz de düzen için var gücüyle çalışıyor haleluyah
1475356770969210881,"66.44310650816469,-179.82421875,600km",theanarcshit,@ArsivUnutmaz vah vah arabayla gömül inşallah
1475356270911795204,"66.44310650816469,-179.82421875,600km",theanarcshit,@Jackbrowniew @lazuribere530 @ArsivUnutmaz çıhar telefonunu göster bakeimm 😂
1475345002939269124,"66.44310650816469,-179.82421875,600km",bpearth,"#42895 Chukotka Autonomous Okrug, Russia, 689514 map:  https://t.co/hKNbKQMrtv  https://t.co/3gzseTqQ98"
1475061845920681985,"66.44310650816469,-179.82421875,600km",welibyvepa,"Гранитный плитняк порадует своей долговечностью: Гранитные плиты мощения уже давно пользуются спросом для установки на улице — в пределах загородного дома или дачи, либо для оформления тенистой аллеи, площади перед монументом, центральных дорог и…  https://t.co/nV4Fe9EF7v"
1475061840438644743,"66.44310650816469,-179.82421875,600km",welibyvepa,"Немного про инженерные доски: Инженерная доска — новая разновидность напольного покрытия, производится из натуральной древесины. Покрытие получается долговечным, экологичным и надёжным.  https://t.co/Bz2AJJkdyq"
1474990934664392709,"66.44310650816469,-179.82421875,600km",theanarcshit,@EbuBilalNamibi Eghönöminin kitabını cilt cilt yeniden yazan kutsi reyiz itibarınıza yakışır bir kindle versiyonu olacak mı?
1474989618718199811,"66.44310650816469,-179.82421875,600km",theanarcshit,@EbuBilalNamibi Şimdi toprak düşünsü..ahem..pardon; yüce isa gecinden versin tabiki reyizül düddüki hazretleri
1476694202427846656,"66.44310650816469,-174.55078125,600km",futbolcolmillo8,@danisoft1863 Cristian Pavón en su prime es para que esté jugando serie A en un equipo top. A ver qué nivel traerá en el Azul.
1476684687858757652,"66.44310650816469,-174.55078125,600km",iembot_afg,"[Delayed Report] On Dec 28, at 4:56 PM AKST, Savoonga [Nome Co, AK] AWOS reports NON-TSTM WND GST of M75 MPH. PASA ASOS REPORTED A GUST OF 75 MPH.  https://t.co/dRUX5fYyUJ"
1476600463550140420,"66.44310650816469,-174.55078125,600km",breezig__,agpapansin ka lang e
1476594550584246274,"66.44310650816469,-174.55078125,600km",esbabie19,beh seryoso nga 😭 pa-drop naman po ng link 😖
1476584491930234881,"66.44310650816469,-174.55078125,600km",esbabie19,hi guys. GUSTO KO LANG SANA HINGIIN YUNG LINK NUNG COMPILATION NG SIGAW NI VESTER SA LIVE NYA DAHIL GAGAMITIN KO YUN MAMAYANG SALUBONG 😭😭😭 TY. ❤️
1476571695234355202,"66.44310650816469,-174.55078125,600km",lulys68,@lopezdoriga Para él en su imaginación si será muy bueno...y en la realidad...
1476537039189426184,"66.44310650816469,-174.55078125,600km",lulys68,@fartebm @FGRMexico @hdemauleon @CNDH @CIDH @CarlosLoret @areliquinteroc @AngelVerdugoB El servicio civil de carrera les ha valido madre para correrte.. es te vas y punto....te bloquean gafetes de entrada y usuario en tu equipo de cómputo...
1476422781101346820,"66.44310650816469,-174.55078125,600km",futbolcolmillo8,"Con la racha que traen Dávila y el Ing. Velázquez, no se me haría raro que a media noche cerraran a Romelu Lukaku como sustituto del Cabecita  #CruzAzul"
1476419240450211851,"66.44310650816469,-174.55078125,600km",futbolcolmillo8,¡Pinche equipazo está armando el #CruzAzul!
1476322789246357505,"66.44310650816469,-174.55078125,600km",lulys68,@Mx_Diputados @INEMexico Bola de ridículos servilistas
1476322663077396480,"66.44310650816469,-174.55078125,600km",lulys68,@RicardoMonrealA Y todavía crees en morena....graso error...no cambian.... salieron peores...
1476320691481948160,"66.44310650816469,-174.55078125,600km",elpablin75,@Andrea82342420 Es un peludo cabezon
1476288142516932611,"66.44310650816469,-174.55078125,600km",elpablin75,@VerCagandoViral Cuerpo dormido culo perdido
1476270140740227074,"66.44310650816469,-174.55078125,600km",valenciangelito,@Yamiletransmx1 Como me puedo unir a tu grupo de whatsapp
1476250391587307520,"66.44310650816469,-174.55078125,600km",lulys68,@lopezdoriga Cómo las que le  encantan....
1476249602982621186,"66.44310650816469,-174.55078125,600km",lulys68,@lopezdoriga Bola de ridículos servilistas...
1476215920393658379,"66.44310650816469,-174.55078125,600km",elpablin75,@DoctoraSexual Necesitas una Reatota para llegar a el
1476213986853015554,"66.44310650816469,-174.55078125,600km",valenciangelito,@LizMenendez @arias_desiderio Que tengas excelente dia
1476203101509935104,"66.44310650816469,-174.55078125,600km",elpablin75,@nicovillegas8 Nooooooooo
1476098673008205824,"66.44310650816469,-174.55078125,600km",jrdnsbstn,DAHIL SA TIKTOK GUSTO KO TULOY NG LECHON BWCT PURO LECHON NAPAPANOOD KO HA
1476014745970831361,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 62 knots (71.4 mph) from SW @ 0157Z -- PASA 290217Z AUTO 24042G49KT 3/4SM -SN BR FEW012 BKN018 OVC055 M06/M07 A2915 RMK AO2 PK WND 23062/0157 PRESRR P0000 FZRANO"
1476009452239159298,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 65 knots (74.8 mph) from WSW @ 0156Z -- PASA 290156Z AUTO 24055G65KT 1/4SM -SN FZFG FEW014 BKN020 OVC044 M05/M06 A2907 RMK AO2 UPE25SNB10E20B25 PRESRR SLP846 P0000 T10501061 FZRANO"
1476002966461165579,"66.44310650816469,-174.55078125,600km",elpablin75,@Arrobita20 Súbete arrriba de él y tú has todo hasta que se vacíe por qué cuando andamos cansados No queremos ni movernos pero si venirnos      Suerte
1475999937368182786,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 64 knots (73.7 mph) from SW @ 0105Z -- PASA 290118Z AUTO 22054G61KT 3/4SM -SN BR BKN016 OVC023 M03/M05 A2902 RMK AO2 PK WND 22064/0105 UPE10SNB10 P0000 FZRANO"
1475994391592329217,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 57 knots (65.6 mph) from SW @ 0056Z -- PASA 290056Z AUTO 22050G57KT 1 1/4SM UP BR OVC018 M02/M04 A2902 RMK AO2 PK WND 22057/0054 UPB22SNB13E22B44E54 SLP829 P0000 T10221044 FZRANO"
1475985064651493376,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 53 knots (61.0 mph) from SW @ 0005Z -- PASA 290019Z AUTO 22043G52KT 1 1/4SM -SN BR OVC017 M01/M03 A2905 RMK AO2 PK WND 22053/0005 SNB13 P0000 FZRANO"
1475982042856783876,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 53 knots (61.0 mph) from SW @ 0007Z -- PASA 290007Z AUTO 23045G53KT 2 1/2SM BR OVC019 M01/M03 A2904 RMK AO2 PK WND 22053/0005 FZRANO"
1475979285319929857,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 52 knots (59.8 mph) from SW @ 2346Z -- PASA 282356Z AUTO 22045G51KT 3SM BR OVC019 00/M02 A2904 RMK AO2 PK WND 22052/2346 RAB07E22UPB24E36SNE07 SLP836 P0001 6//// T00001022 10017 21061 55022 FZRANO"
1475968700830261256,"66.44310650816469,-174.55078125,600km",iembot_afg,"SAVOONGA AIRPORT,AK (PASA) ASOS reports gust of 50 knots (57.5 mph) from SW @ 2314Z -- PASA 282314Z AUTO 22042G50KT 3SM -RA BR BKN015 OVC022 01/M01 A2904 RMK AO2 PK WND 22050/2310 RAB07SNE07 P0001 FZRANO"
1475949724326895618,"66.44310650816469,-174.55078125,600km",damelioslor,@arialisslomusic do you understand spanish ?
1475931336917635075,"66.44310650816469,-174.55078125,600km",valenciangelito,@Gi19031792 A que cuenta hay que depositar
1475820174208946181,"66.44310650816469,-174.55078125,600km",esbabie19,"beh, mahal na mahal tayo ng jowa natin 😭  @SB19Official #SB19  https://t.co/vNpEIdn0Hq"
1476698773019672576,"66.44310650816469,-169.27734375,600km",httpvicty,e se eu n ver mais ele ein
1476698749275680769,"66.44310650816469,-169.27734375,600km",mvd_jt,quem achou que eu não ia forgar tá enganado
1476698093580075008,"66.44310650816469,-169.27734375,600km",httpvicty,eu só qria ter ido pra igreja hj
1476694615956721665,"66.44310650816469,-169.27734375,600km",momokarage,Felicidades tia Julia!!❤️❤️
1476694202427846656,"66.44310650816469,-169.27734375,600km",futbolcolmillo8,@danisoft1863 Cristian Pavón en su prime es para que esté jugando serie A en un equipo top. A ver qué nivel traerá en el Azul.
1476692151379636230,"66.44310650816469,-169.27734375,600km",mvd_jt,puto c esse perfume
1476691450154950657,"66.44310650816469,-169.27734375,600km",mvd_jt,cheio d ódio na mente 🤯😡😡
1476690805268131848,"66.44310650816469,-169.27734375,600km",mvd_jt,hoje eu não sou ninguém
1476688183777804294,"66.44310650816469,-169.27734375,600km",knomnews,NJUS battles strong winds to restore power to Nome residents  https://t.co/vyWrzvJLvL
1476688162739175429,"66.44310650816469,-169.27734375,600km",knom,"Gale-force winds wracked Nome on the night of Dec. 28, resulting in blackouts across much of the city. But despite the conditions, Nome Joint Utility System linemen worked during the night to get power back to residents where possible.  https://t.co/HAg24WE7KI"
1476687437325692935,"66.44310650816469,-169.27734375,600km",valdez_vegaa,He got the dick that make you forget about your past 🤷🏽‍♀️😳
1476684692036284419,"66.44310650816469,-169.27734375,600km",iembot_afg,"[Delayed Report] On Dec 28, at 9:33 PM AKST, Brevig Mission [Nome Co, AK] AWOS reports NON-TSTM WND GST of M60 MPH. AWOS STATION PFKT BREVIG MISSION.  https://t.co/NOalMU6icP"
1476684687858757652,"66.44310650816469,-169.27734375,600km",iembot_afg,"[Delayed Report] On Dec 28, at 4:56 PM AKST, Savoonga [Nome Co, AK] AWOS reports NON-TSTM WND GST of M75 MPH. PASA ASOS REPORTED A GUST OF 75 MPH.  https://t.co/dRUX5fYyUJ"
1476683596530429958,"66.44310650816469,-169.27734375,600km",biagusttavoiima,@beenorules qual página amg?
1476681607805169673,"66.44310650816469,-169.27734375,600km",momokarage,"@AuroraPomsky @FloofRam Imagine my face when I back from high school (first year) and I found there was no cage or anything, trauma for me"
1476681359863255048,"66.44310650816469,-169.27734375,600km",mohammed_960_,@mirtillo135 قصير العمر
1476681282671235088,"66.44310650816469,-169.27734375,600km",mohammed_960_,@mirtillo135 هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
1476680782072717319,"66.44310650816469,-169.27734375,600km",mohammed_960_,@mirtillo135 همه حتى اللقمه
1476679421469810689,"66.44310650816469,-169.27734375,600km",mohammed_960_,@mirtillo135 هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
1476679107039490058,"66.44310650816469,-169.27734375,600km",momokarage,@CalmMilk This is disgusting af
